NAME,ISIN,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
L'OREAL,FR0000120321,67331,67331,63540,61040,49700,57698,49982,43100,43134,19700,66100
ACCOR,FR0000120404,248463,248463,302000,255000,249000,281000,252000,201000,316000,344000,704000
BOUYGUES,FR0000120503,2170000,2206600,1900000,2225000,1901000,2033000,2021000,1876200,1980000,1700000,2200000
QUADIENT,FR0000120560,2693,5505,14058,13711,13711,13865,10264,7042,6251,6251,6468
SANOFI,FR0000120578,660800,458848,613245,446471,426598,578579,460108,450132,467780,386375,340994
AXA,FR0000120628,53781,53781,53752,31304,39209,27287,27223,26292,23362,23280,21598
DANONE,FR0000120644,460256,460256,561641,547480,644000,753000,722000,668000,683000,830923,789000
PERNOD-RICARD,FR0000120693,,269117,274610,274610,254818,250542,255417,255417,265819,273580,232381
IMERYS,FR0000120859,1702012,1785000,1659000,1713000,2018000,2194000,1811000,1510000,1597000,1428000,1428000
BIC,FR0000120966,9549,9549,8940,9275,8689,9813,9278,7659,8226,8375,8375
LVMH,FR0000121014,51362,48565,64468,62657,63970,73940,67612,63909,71055,67393,126532
EURAZEO,FR0000121121,629840,882554,198016,72009,38,184334,640298,577998,577998,638564,51
WENDEL,FR0000121204,1064458,1064458,297317,160980,845665,98382,58446,66945,197097,203699,203699
SODEXO,FR0000121220,153905,153905,114498,109544,84316,97637,92205,92326,71000,71000,82605
THALES,FR0000121329,87824,87824,88940,81870,85563,75000,78000,86000,86000,69000,61000
KERING,FR0000121485,18682,17502,17716,19229,21034,21034,16715,14256,19281,21660,14918
ESSILORLUXOTTICA,FR0000121667,33947,33947,16743,17470,21050,43850,55936,46011,46011,108453,133486
KLEPIERRE REIT,FR0000121964,11047,14025,16189,16453,19496,10947,13190,11341,10076,11301,7309
SCHNEIDER ELECTRIC,FR0000121972,103664,84053,90054,85852,84913,84389,171335,142149,140936,119617,112792
VEOLIA ENVIRON,FR0000124141,34792429,26200000,26200000,28500000,29500000,29600000,26300000,26300000,26700000,28600000,27900000
SAINT GOBAIN,FR0000125007,12240000,12240000,12400000,9528115,9373878,8600000,8000000,7900000,8400000,8400000,7738985
CAPGEMINI,FR0000125338,11636,11636,8250,5973,6222,6772,9402,7916,9187,7762,8863
VINCI,FR0000125486,2280558,,1832038,1951489,2417665,2032414,2098569,1946038,2005622,1983499,2155261.92
VIVENDI,FR0000127771,73047,35833,7451,8400,8400,17481,14185,15263,14764,15879,10291
LAGARDERE GROUPE,FR0000130213,24696,5080,7283,10954,10954,10078,13062,10932,10932,,
REMY COINTREAU,FR0000130395,1935,1935,6127,8815,7137,10252,7376,7581,7581,6120,7571
CHRISTIAN DIOR,FR0000130403,57285,51271,48548,,51690,64254,,,,,
EIFFAGE,FR0000130452,559718,,552807,503989,503989,483283,544032,594485,619514,619514,444842
PUBLICIS GROUPE,FR0000130577,9141,9141,9453,9453,12374,5586,7349,7351,4299,7266,6164
SOCIETE GENERALE,FR0000130809,31861,32483,30839,31805,29174,29983,26667,23195,24415,28302,22807
BNP PARIBAS,FR0000131104,67076,60450,55085,62450,62450,62148,61187,49041,50144,45353,25437
ERAMET,FR0000131757,1412114,,2505423,3195589,3196740,2490164,2490164,3660000,3300000,3321002,3286187
RENAULT,FR0000131906,677890,677890,662478,716302,681033,663344,626947,498611,463637,423072,412439
ORANGE,FR0000133308,418026,418026,339961,339961,325376,329606,295636,282526,257001,335654,372232
GECINA,FR0010040865,11470,7742,7673,7673,7994,7994,8362,7097,7097,2818,934
ALSTOM,FR0010220475,314941,314941,54000,50000,48000,50000,52000,53898,94809,107073,86000
EUTELSAT COMMUNICATIONS,FR0010221234,6719,6719,350,312,322,320,320,320,58,504,407
EDF DEAD - DELIST.08/06/23,FR0010242511,81815594,65389122,59300000,53700000,51300000,34900000,33100000,28000000,27690997,24000000,
LEGRAND,FR0010307819,83310,,53528,71231,70833,58781,54976,57000,57000,54191,49348
ARKEMA,FR0010313833,4710000,3430000,3000000,3110000,3000000,2720000,2690000,2268000,1822000,1527000,1330000
ADP,FR0010340141,99197,99197,44337,53649,55087,49461,83639,75434,75434,82243,79424
SCOR SE,FR0010411983,1902,,619,642,1358,1722,1261,1261,403,403,755
GETLINK,FR0010533075,103714,103714,99119,48941,57213,54582,33378,33538,39703,37704,32790
VALEO,FR0013176526,,,141800,145800,145800,175300,186900,170600,170600,191000,191000
BIOMERIEUX,FR0013280286,,,,,11530,32127,32000,20000,29000,25000,23000
UNIBAIL RODAMCO WE STAPLED UNITS,FR0013326246,,,,,13406,12033,18965,21236,22597,20737,15835
VANTIVA,FR0013505062,,,,,,,,5512,4756,4756,4756
VALLOUREC,FR0013506730,,,,,,,890000,890000,778000,778000,786154
EUROFINS SCIEN.,FR0014000MR3,,,,,,,27170,20815,59000,63565,58507
DASSAULT SYSTEMES,FR0014003TT8,,,,,,,,4629,3859,4476,4178
MICHELIN,FR001400AJ45,,,,,,,,,1346123,1346123,1525743.26
SPEEDY HIRE,GB0000163088,7728,7728,17404,,20415,20030,18735,16650,16650,16146,12768.77
ANGLO-EASTERN PLTNS.,GB0000365774,25309,284422,,,17697,26340,,,,,
ANTOFAGASTA,GB0000456144,706463,693179,578118,795994,854628,1026220,1090285,1144258,987948,1113581,1113581
ASHTEAD GROUP,GB0000536739,36489,36489,188514,214078,234053,265319,296128,288438,288438,302843,340782
BRAEMAR,GB0000600931,23873,,469,,,,,,,,
BARRATT REDROW,GB0000811801,16286,17315,18224,20211,20772,20772,24832,18374,18374,23234,23580
BELLWAY,GB0000904986,566,9335,10634,10634,13845,19964,20560,16892,17704,16696,16696
BALFOUR BEATTY,GB0000961622,305398,295219,288664,288664,222485,172270,167071,162816,199002,217757,217757
TED BAKER DEAD - DELIST.24/10/22,GB0001048619,238,238,234,129,129,199,,,,,
BOOT (HENRY),GB0001110096,2370,2288,2048,,2060,4229,2261,,2303,2303,2453
BRITISH LAND,GB0001367019,7082,7335,7928,7609,6967,8956,6945,6663,6663,8025,8025
TULLOW OIL,GB0001500809,776629,764700,752539,754338,754338,1218010,1263258,2032027,2234000,1205580,1205580
XAAR,GB0001570810,846,162,162,,167,109,108,,,,
WETHERSPOON (JD),GB0001638955,51229,51229,52510,51342,50805,47064,47064,45012,24726,41324,35839
CAMELLIA,GB0001667087,,,,,,,,,,,
BREWIN DOLPHIN DEAD - DELIST.28/09/22,GB0001765816,265,39,244,327,308,577,390,235,236,,
CASTINGS,GB0001795680,,,,,,,54428,54428,2359,3602,3602
DIPLOMA,GB0001826634,6119,885,918,814,725,725,1002,773,2554,3256,3256
VISTRY GROUP,GB0001859296,4118,4118,4168,4780,5638,4902,5275,5970,5970,22290,167978
TCLARKE DEAD - DELIST.26/06/24,GB0002015021,,,,,,,,,,,
CLARKSON,GB0002018363,866,1067,922,,860,1053,,,794,923,1014
GENUS,GB0002074580,4141,4141,68562,64655,61670,67650,98740,74940,74940,81103,81103
RATHBONES GROUP,GB0002148343,177,312,312,357,357,321,328,198,411,359,359
CRANSWICK,GB0002318888,33370,33370,33370,,51652,33949,66204,69016,69016,80067,80067
REA HOLDINGS,GB0002349065,,,,,,,,,,,
DIAGEO,GB0002374006,613200,613200,595000,656000,621127,621127,620573,567081,549469,549469,485000
ELEMENTIS,GB0002418548,221076,221076,221420,208610,194687,242476,242476,163876,163876,211619,207058
BAE SYSTEMS,GB0002634946,535370,535370,596515,579880,525032,506248,480932,480932,142241,113089,107360
DERWENT LONDON,GB0002652740,4757,3166,3186,3186,3529,4321,4649,3326,3174,2988,2988
DEVRO DEAD - DELIST.14/04/23,GB0002670437,18720,18720,79726,,62278,74251,61988,53649,68985,68985,
BIG YELLOW GROUP,GB0002869419,475,132,123,123,184,148,131,139,139,309,242
BRITISH AMERICAN TOBACCO,GB0002875804,358723,358723,330495,311172,326242,415000,396398,342000,325000,308000,267000
TOWN CENTRE SECURITIES,GB0003062816,520,520,520,,282,295,,,,,
RS GROUP,GB0003096442,6100,6100,5100,5004,5004,4679,4874,4468,4468,4708,4678
SPECTRIS,GB0003308607,6389,10380,11021,11021,3972,6237,16071,12189,6963,6963,7533.79
FISHER(JAMES)& SONS,GB0003395000,620031,75166,67600,,86400,86400,,,,,
FIRST GROUP,GB0003452173,2851269,2477381,2481544,2298290,2338164,2344768,2111199,1214769,1214769,599869,545054
GAMES WORKSHOP,GB0003718474,873,873,,,787,814,791,791,1899,661,616
GO-AHEAD GROUP DEAD - DELIST.11/10/22,GB0003753778,382023,382023,394600,394622,426200,406564,395474,369665,366372,,
HALMA,GB0004052071,4199,4199,3955,3955,4658,4424,4818,4205,4205,4059,4059
STANDARD CHARTERED,GB0004082847,23878,23878,16904,13562,7922,8584,4542,3988,2902,2071,2071
HAYS,GB0004161021,5150,4664,4664,4920,5009,5734,5926,3243,3243,3988,5407
HEADLAM GROUP,GB0004170089,,,,,24377,26146,,13254,13697,15102,15102
HILL AND SMITH,GB0004270301,72859,72859,61793,50081,45346,65966,41722,41722,53712,49388,49388
HUNTING,GB0004478896,8309,8113,6381,4771,5452,6916,7100,6863,4171,5778,5778
IMPERIAL BRANDS,GB0004544929,169804,138459,86273,132450,120384,114617,108241,99577,95987,91128,81089
MITIE GROUP,GB0004657408,42075,42075,41090,38688,37923,35230,26441,18719,18719,19414,20530
SPIRENT COMMUNICATIONS,GB0004726096,1079,1079,256,,224,100,145,92,100,100,62.7
KELLER,GB0004866223,135179,135179,168392,168392,170752,213845,198289,169216,183112,183112,210186
KIER GROUP,GB0004915632,112611,112611,134469,112651,109077,100082,96733,55372,55372,43231,50323
HSBC HOLDINGS,GB0005405286,64918,55648,40875,58755,52938,36260,36687,25228,22000,19000,19000
MCKAY SECURITIES DEAD - DELIST.09/05/22,GB0005522007,429,429,,,428,867,415,594,,,
HOWDEN JOINERY GP.,GB0005576813,78898,28516,29487,29487,26740,31053,32016,38405,45659,45659,39528
LEGAL & GENERAL,GB0005603997,6853,6853,1341,7143,8655,8655,15226,15226,13350,12506,12506
MEARS GROUP,GB0005630420,16375,21039,21039,,20795,17437,17437,34370,36397,36397,36397
MCBRIDE,GB0005746358,12919,9073,9073,,8760,8081,7432,,,,7415
MEGGITT DEAD - DELIST.14/09/22,GB0005758098,34323,34323,37796,35186,34552,36573,36733,29145,29145,,
MENZIES (JOHN) DEAD - DELIST.05/08/22,GB0005790059,107046,107046,61719,61719,53949,73139,107447,,69424,,
MORGAN ADVANCED MRA.,GB0006027295,150000,150000,133100,133100,126300,130600,127500,125048,122817,122817,121989
MOBICO GROUP,GB0006215205,765527,765527,750523,765434,815788,808212,823582,514106,657239,830287,830287
ECORA RESOURCES,GB0006449366,8940,8940,,,,40978,49487,84575,23,0,0
4IMPRINT GROUP,GB0006640972,1021,1021,10,,7,9,,,,551,551
OXFORD INSTRUMENTS,GB0006650450,878,878,753,753,679,633,321,,,603,603
ASSOCIATED BRIT.FOODS,GB0006731235,2231930,2231930,2474175,2607156,2433205,3228000,3162449,2797000,2450000,2408000,2272000
PEARSON,GB0006776081,30170,30170,22343,19093,15691,13057,13251,13251,8396,4622,4622
PERSIMMON,GB0006825383,11092,11092,9649,27649,26900,35450,30797,25886,25886,25298,25005
EUROMONEY INSTL.INVESTOR DEAD - DELIST.25/11/22,GB0006886666,200,200,497,2100,2100,544,300,1000,1100,,
UNITE GROUP,GB0006928617,5361,5361,4394,5750,5750,6094,7397,10328,11009,10905,10905
PORVAIR,GB0006963689,1844,9677,9677,,11448,10725,11515,11515,10880,10880,10880
PRUDENTIAL,GB0007099541,21918,23355,17254,17714,18201,16902,16902,9353,9741,4076,1645
RIO TINTO,GB0007188757,23400000,21900000,19800000,21100000,20000000,17800000,17100000,17100000,22700000,22800000,22800000
RENISHAW,GB0007323586,3074,3739,3690,4006,4006,4228,3900,3647,3424,3861,4177
RICARDO,GB0007370074,3829,3829,8200,,8100,8600,,,,2702,1875
LIONTRUST ASSET MAN.,GB0007388407,27,20,17,,14,27,,255,268,14,14
RPS GROUP DEAD - DELIST.24/01/23,GB0007594764,6095,6095,6881,8122,9399,7816,9074,6235,6235,,
CLOSE BROTHERS GROUP,GB0007668071,474,2829,3389,3389,3389,2884,2307,1780,1780,1394,1394
ST.JAMES'S PLACE ORD,GB0007669376,851,932,764,683,876,835,725,544,1130,933,649
KIN AND CARTA DEAD - DELIST.29/04/24,GB0007689002,12643,12643,3100,,,,58,78,9,68,
SSE,GB0007908733,20721943,13078819,11021000,8004000,10155000,8810000,8270000,7100000,7100000,6080000,6080000
SENIOR,GB0007958233,12814,12814,12092,12092,10906,10414,10378,10378,8445,8445,
SERCO GROUP,GB0007973794,173672,173672,173441,162198,182819,259814,181413,165259,165259,165417,182231
BP,GB0007980591,49210000,48600000,48900000,50100000,49400000,46500000,46000000,41300000,36500000,33900000,31100000
SIG,GB0008025412,56615,78231,71532,73512,73512,64191,58077,43042,42961,40529,40434
MORGAN SINDALL GROUP,GB0008085614,32878,,25244,,17200,19934,18124,16031,11243,9528,9528
SMITH (DS) DEAD - DELIST.04/02/25,GB0008220112,1215458,1281000,1281491,1570000,1660000,1604000,1604000,1833000,2267000,2023278,1542250
ROBERT WALTERS,GB0008475088,1489,461,461,,586,500,,,,529,563
ME GROUP INTERNATIONAL,GB0008481250,1342,4986,4986,4373,4216,4547,3514,3882,2912,1344,1344
LLOYDS BANKING GROUP,GB0008706128,73196,73196,57761,52438,52160,48461,47524,39107,37653,27498,27498
TT ELECTRONICS,GB0008711763,16712,3406,3562,,2934,2028,1042,1259,955,955,897
TAYLOR WIMPEY,GB0008782301,16177,16436,16436,17983,18889,20328,21018,21018,17464,15975,15975
TELECOM PLUS,GB0008794710,,348,115,115,87,67,1024,1024,1742,1755,84
MOTHERCARE,GB0009067447,8512,2394,2394,,,,,,,,
ULTRA ELECTRONICS DEAD - DELIST.02/08/22,GB0009123323,14108,13575,3018,3018,2737,2957,2610,2667,1877,,
SMITH & NEPHEW,GB0009223206,10102,10102,11011,9822,9451,9956,9888,9754,11335,12168,12168
VP,GB0009286963,4038,13091,13091,,13701,18182,15738,15738,13270,17736,17736
VICTREX,GB0009292243,6292,16594,21975,22039,22478,25231,23568,18241,20161,25232,25232
VIDENDUM,GB0009296665,2345,2345,,,,1513,1179,,,1467,1467
WEIR GROUP,GB0009465807,82100,82100,36012,37170,33300,38586,81631,51968,62070,66697,66697
DECHRA PHARMACEUTICALS DEAD - DELIST.17/01/24,GB0009633180,4328,1007,1007,3434,4018,4018,6403,6403,7027,6709,
WILMINGTON,GB0009692319,,,,,,,77,,,8,6
BABCOCK INTERNATIONAL,GB0009697037,43806,37377,42458,94539,103337,86666,169959,158053,158053,143160,127167
ASTRAZENECA,GB0009895292,324700,324700,324300,329140,291652,301055,285798,224771,245882,245117,245117
AMDOCS,GB0022569080,0,0,,,,,,,,2175,1327
TRIBAL GROUP,GB0030181522,1284,54,,,,,,,,,
PAGEGROUP,GB0030232317,2504,1607,1527,1662,1627,1882,2054,2023,1164,1164,933
WINCANTON DEAD - DELIST.30/04/24,GB0030329360,132258,132258,333145,,335312,303119,303119,,308391,314799,
BT GROUP,GB0030913577,182000,182000,172500,174518,174518,184363,182565,171422,180779,180227,180227
MARKS & SPENCER GROUP,GB0031274896,168747,167000,182000,182309,182000,167000,172812,157000,173954,173954,226000
BARCLAYS,GB0031348658,46757,49517,65340,46571,25627,25553,24276,18900,21986,20036,20036
INTERTEK GROUP,GB0031638363,66598,60151,63728,63728,72096,55386,64951,63125,59952,58821,61168
BURBERRY GROUP,GB0031743007,1761,1761,2013,2126,2119,2096,1931,1931,1835,1835,1667
NEXT,GB0032089863,38009,38576,48747,52901,48163,46911,45739,36914,42616,43165,43165
BLOOMSBURY PBL.,GB0033147751,503,503,70,,78,88,49,114,18,40,96
KINGFISHER,GB0033195214,160223,160223,156062,153553,156066,156066,156267,156267,153133,130642,130642
ITV,GB0033986497,17117,17117,8294,8294,6684,6684,9111,2554,2406,2406,1974
CENTAUR MEDIA,GB0034291418,300,184,,,,,,,,,
CHESNARA,GB00B00FPT80,495,495,189,114,219,260,442,113,113,0,0
MARSHALLS,GB00B012BV22,41716,36200,38756,40873,41610,43559,42147,42147,37540,36232,32590
HALFORDS GROUP,GB00B012TP20,31521,9728,10707,10707,9980,11020,13617,13095,13095,14233,14233
SAINSBURY J,GB00B019KW72,626854,626854,601091,601091,594374,594374,448189,527173,516239,516239,458972.65
HORNBY,GB00B01CZ652,,,,,,,,,,,
NCC GROUP,GB00B01QGK86,578,,124,194,127,126,126,122,126,200,200
ADMIRAL GROUP,GB00B02J6398,36,14,551,511,334,503,495,605,1477,625,1507
PAYPOINT,GB00B02QND93,11684,357,382,,373,329,,60,60,101,101
CENTRICA,GB00B033F229,7031658,5452507,4272477,5032493,4044754,1698388,2246167,2246167,1885449,1994153,1994153
ESKEN LIMITED DEAD - DELIST.02/04/24,GB00B03HDJ73,342201,21493,26315,24531,121619,121619,32019.15788,,,17234,
GRAINGER,GB00B04V1276,1467,1650,580,580,603,597,811,959,1014,810,810
IG GROUP HOLDINGS,GB00B06QFB75,937,405,197,283,269,89,438,580,378,287,722.9
ESSENTRA,GB00B0744359,11595,8967,11543,10479,10111,11276,11276,7603,8307,8307,7586
BUNZL,GB00B0744B38,89397,93641,92645,89186,92687,99848,99193,90568,87125,93405,89806
RENTOKIL INITIAL,GB00B082RF11,191433,191433,172943,186067,166287,170609,178889,169755,184438,200102,200102
HELICAL REIT,GB00B0FYMT95,491,491,570,570,1009,739,642,860,860,141,460
PETROFAC,GB00B0H2K534,253101,,253000,244000,244000,239000,239000,231000,188000,188000,191643
STHREE,GB00B0KM9T71,1562,907,671,,542,1290,,1270,400,400,261
HIKMA PHARMACEUTICALS,GB00B0LCW083,3488,3488,26479,24114,24114,36839,29082,29082,40450,43012,43135
BRITVIC DEAD - DELIST.20/01/25,GB00B0N8QD54,20286,17965,16963,31129,28391,31439,28060,17885,15797,13006,13006
LONDON STOCK EXCHANGE GROUP,GB00B0SWJX34,1392,1392,1307,1173,1583,1414,1816,2670,1000,1450,913
QINETIQ GROUP,GB00B0WMWD03,,26042,23183,23183,21245,22519,19289,15872,15872,13360,13360
RESTAURANT GROUP DEAD - DELIST.22/12/23,GB00B0YG1K06,25252,25252,19874,20597,18971,18748,24774,13267,18044,18044,
UNILEVER (UK),GB00B10RZP78,1013690,929360,852672,840633,773856,731927,626672,606771,565988,503909,620000
IP GROUP,GB00B128J450,2,4,7,,4,22,15,0,0,0,0
ASHMORE GROUP,GB00B132NW22,53,53,56,20,34,35,35,35,43,51,94.9
SAVILLS,GB00B135BJ46,1292,1292,1898,2518,2518,2162,1775,1680,1808,1691,1907
LOOKERS DEAD - DELIST.09/10/23,GB00B17MMZ46,82152,82152,21902,29591,30027,23967,,,19140,17555,
TOPPS TILES,GB00B18P5K83,1289,3127,3102,,2834,2966,,,,,
PZ CUSSONS,GB00B19Z1432,26382,26382,60598,60598,59488,56006,38354,37977,37977,43539,40587
LAMPRELL DEAD - DELIST.25/10/22,GB00B1CL5249,187131,187131,52410,,46701,24850,7171,,,,
SEVERN TRENT,GB00B1FH8J72,169844,154644,154644,138131,134307,132360,156014,164115,164115,417330,417330
MITCHELLS & BUTLERS,GB00B1FP6H53,80694,80694,95771,95474,95993,90021,84388,84388,79936,87278,87278
HOCHSCHILD MINING,GB00B1FW5029,217720,217720,46790,45909,47305,47305,38941,39341,38537,46628,43196
LSL PROPERTY SERVICES,GB00B1G5HX72,568,568,568,,4046,4162,3420,2517,2517,1998,1998
MARSTON'S,GB00B1JQDM80,33364,33364,44996,18420,19581,21604,21450,19471,16080,7043,7043
WHITBREAD,GB00B1KJJ408,57057,57057,55989,63009,97362,71957,70171,46254,63715,63375,63375
RANK GROUP,GB00B1L5QH97,16315,16315,17833,17001,17616,17616,,12089,12337,12337,11029
BROWN GROUP,GB00B1P6ZR11,3276,3276,2205,2361,2361,2432,,,,,
DRAX GROUP,GB00B1VNSX38,19021200,16595000,13101000,6021000,6169000,4107000,2049000,2049000,932000,336000,336000
SMITHS GROUP,GB00B1WY2338,,,15124,12179,11000,12241,10963,10963,16640,19131,19694
FERREXPO,GB00B1XH2C03,,,678288,550591,554763,566877,566877,579415,565552,649000,341000
ANGLO AMERICAN,GB00B1XZS820,7279561,7976768,8700000,8900000,9900000,9700000,10900000,9950000,9020000,8300000,7500000
3I GROUP,GB00B1YW4409,28,,13,252,156,142,151,117,117,167,140
CAPITA,GB00B23K0M20,,,11488,11488,10252,6102,18960,18979,15021,12049,12049
RECKITT BENCKISER GROUP,GB00B24CGK77,,80798,92584,80321,63726,63726,140117,138105,120346,121275,121275
SEVERFIELD,GB00B27YGJ97,6339,6339,6339,,5231,6197,5637,6296,6296,7359,6391
RELX,GB00B2B0DG97,11810,8932,7446,7966,8231,7477,7848,4516,5226,5211,4317
PARAGON BANKING GROUP,GB00B2NGPM57,990,990,841,791,791,936,1222,887,836,941,941
WH SMITH,GB00B2PDGW16,9243,8191,8700,8700,8320,7625,2653,6025,2688,1609,1609
UNITED UTILITIES GROUP,GB00B39J2M42,101992,101992,110533,128649,117583,119354,116916,132575,132575,131735,133919
STV GROUP,GB00B3CX3644,401,487,454,,434,437,437,,,,
DE LA RUE ORD,GB00B3DGH821,44847,44847,40648,40985,28552,28552,,5104,5104,4519,7249
BODYCOTE,GB00B3FLWH99,154069,158200,158169,137500,150300,150600,142600,140400,118000,118000,125600
ZIGUP,GB00B41H7391,143015,5980,5865,6201,6701,6793,6793,6446,8311,19773,22829
CHEMRING GROUP,GB00B45C9X44,62346,62346,22717,13967,10640,10640,,9293,8671,8171,8171
PHAROS ENERGY,GB00B572ZV91,80546,110415,100412,97407,97411,107103,,,,,
WOOD GROUP (JOHN),GB00B5N0P849,2650,51279,23319,18964,19907,19621,463462,86026,86026,46667,38049
SEGRO,GB00B5ZN1N88,10894,12695,5755,7227,1992,1992,830,1401,1278,2329,1403
INCHCAPE,GB00B61TVQ02,366434,71034,73107,11760,11760,12081,10744,8780,8596,8596,19793
ROLLS-ROYCE HOLDINGS,GB00B63H8491,296000,296000,242000,372000,379000,305000,338555,229029,216788,240353,181603
GREGGS,GB00B63QSB39,38032,38032,35869,43205,39682,39527,38668,35869,35965,39812,39812
COSTAIN GROUP,GB00B64NSP76,9201,20600,20600,17677,15451,21916,16011,,,,4876
WORKSPACE GROUP,GB00B67G5X01,3768,3449,3375,3375,3181,3192,3113,2887,3288,3188,3188
BARR (AG),GB00B6XZKY75,5432,5432,5432,,5420,5710,5467,5434,3847,3847,4363.67
STAGECOACH GROUP DEAD - DELIST.28/06/22,GB00B6YTLS95,1232100,1047286,995701,1032589,1019232,897271,897271,529804,,,
EVRAZ SUSP - SUSP.06/12/23,GB00B71N6K86,45820000,45550000,36870000,35950000,35950000,34560000,39090000,39480000,39480000,40170000,40170000
EASYJET,GB00B7KR2P84,5552720,5900000,6100000,6500000,7100000,7600000,8200000,4247159,2114961,6421434,7517925
VESUVIUS,GB00B82YXW83,,33441,384000,340000,396000,370000,318000,271000,271000,285000,285000
STUDIO RETAIL GROUP DEAD - DELIST.25/02/22,GB00B8B4R053,5585,5585,5585,,170,262,,,,,
THE SAGE GROUP,GB00B8C3BL03,3509,9238,10887,9880,9880,1489,1805,1566,1060,798,798
COMPASS GROUP,GB00BD6K4575,,,,95430,128154,129516,174627,111959,94230,100000,100000
AIR PARTNER DEAD - DEAD 04/04/22,GB00BD736828,,,,,,,,,,,
COCA COLA EUROPACIFIC PARTNERS,GB00BDCPN049,,,102542,260105,229657,229810,238046,196919,205244,295904,283745
OXFORD BIOMEDICA,GB00BDFBVT43,,,,,499,715,1236,1614,1614,1711,966
NATIONAL GRID,GB00BDR05C01,,,,6900000,4800000,4500000,3900000,3900000,5270747,5270747,4369413
CLS HOLDINGS,GB00BF044593,,,,,1695,2308,,4722,5407,4858,4858
GREAT PORTLAND ESTATES,GB00BF5H9P87,,,,,2925,2435,1809,2013,2013,2254,1556
ABRDN,GB00BF8Q6K64,,,,,3518,2667,1784,1212,1061,817,817
REDROW DEAD - DELIST.23/08/24,GB00BG11K365,,,,,10607,11128,12478,12250,12250,9558,9558
RIGHTMOVE,GB00BGDT3G23,,,,,486,495,485,215,171,98,209.51
IMI,GB00BGLP8L22,21500,21500,18250,17500,16500,17750,17750,12465,12465,11826,10607
VODAFONE GROUP,GB00BH4HKS39,418043,418043,410000,400000,404254,260000,280000,270000,270000,280000,280000
ICTL.HTLS.GP.,GB00BHJYC057,,,,,449112,449112,529092,529092,440719,482917,482917
MICRO FOCUS INTL. DEAD - DELIST.01/02/23,GB00BJ1F4N75,,,,,143,216,1850,1113,1109,,
CRODA INTERNATIONAL,GB00BJFFLV09,,,,,128550,153211,140303,149621,160835,110487,110487
DAILY MAIL 'A' DEAD - DELIST.10/01/22,GB00BJQZC279,,,,,5900,5141,1500,1000,,,
RM,GB00BJT0FF39,7735,2784,,,,,1091,746,577,577,577
TRAVIS PERKINS,GB00BK9RKT01,,,,,,,,89013,89013,78345,56234
HYVE GROUP DEAD - DELIST.23/05/23,GB00BKP36R26,,,,,,,228,222,81,60,
GALLIFORD TRY,GB00BKY40Q38,,,,,,,42925,22510,22510,8633,10598.15
CAPITAL & REGIONAL DEAD - DELIST.11/12/24,GB00BL6XZ716,,,,,,,1357,,,,
TESCO,GB00BLGZ9862,,,,,,,,1053151,1110098,1039346,1039346
NATWEST GROUP,GB00BM8PJY71,,,,,,,,,19127,16240,16240
JD SPORTS FASHION,GB00BM8Q5M07,,,,,,,,5974,7461,7461,7642
INFORMA,GB00BMJ6DW54,,5142,886,886,3617,3833,3990,2822,2822,2347,2347
NOBLE CORPORATION,GB00BMXNWH07,,,,,,,,,554916,597706,597706
GLAXOSMITHKLINE,GB00BN7SWP63,,,,,,,,,681000,626418,581000
MELROSE INDUSTRIES,GB00BNGDN821,,,,,,,,,,168315,159372
PENNON GROUP,GB00BNNTLN49,,,,,,,,18946,21080,24402,28773
RENEWI,GB00BNR4T868,,,,,,,,459000,452000,452000,528555
SHELL,GB00BP6MXD84,,,,,,,,,91000000,82000000,81000000
TATE & LYLE,GB00BP92CJ43,,,,,,,,,1866000,364871,364871
SCHRODERS,GB00BP9LHF23,,,,,,,,,1980,789,789
AVIVA,GB00BPQY8M80,,,,,,,,,10630,8526,7503
DIGNITY DEAD - DELIST.25/05/23,GB00BRB37M78,9088,15007,14988,15638,15535,16028,15844,15710,15401,15401,
MJ GLEESON,GB00BRKD9Z53,,,,,,,,,2693,3196,3187
COMPUTACENTER,GB00BV9FP302,,5191,5191,,3352,3072,2873,5640,1908,1908,1979
ROTORK,GB00BVFNZH21,,5024,5724,6973,6973,5594,5594,4575,3217,3132,3132
SPIRAX GROUP,GB00BWFGQN14,,17266,16659,16659,17354,19563,23878,20060,20060,18633,18633
BEAZLEY,GB00BYQ0JC66,,,177,122,126,241,21,9,8,8,65
PRIMARY HEALTH PROPS.,GB00BYRJ5J14,,1055,913,774,778,919,1084,1797,2215,57,57
INTERMEDIATE CAPITAL GP.,GB00BYT1DJ19,,,177,74,48,49,66,11,11,7,46
LAND SECURITIES GROUP,GB00BYW0PQ60,,,,16477,14755,11490,9158,7554,7151,6681,6681
HOMESERVE DEAD - DELIST.05/01/23,GB00BYYTFB60,,6684,6815,7783,8835,11366,12022,13698,13698,,
FUTURE,GB00BYZN9041,,,,,,157,96,109,234,154,144
JOHNSON MATTHEY,GB00BZ4BQC70,,,204000,203000,203205,224000,199125,203930,219846,233300,233300
EVOKE,GI000A0F6407,7609,7609,5044,367,197,462,744,436,1,1,503
NATIONAL BK.OF GREECE,GRS003003035,,,,,2866,2905,2923,3000,2895,2172,2742
BANK OF GREECE,GRS004013009,,,,,,,,,,,
